date,year,month,ticker,firm,marketcap
2018-01-01,2018,1,BANVT,BANVIT,2108497.04532
2018-01-01,2018,1,CCOLA,COCA COLA ICECEK,9152260.736359999
2018-01-01,2018,1,DARDL,DARDANEL,87382.07492
2018-01-01,2018,1,ERSU,ERSU GIDA,46080.0
2018-01-01,2018,1,FRIGO,FRIGO PAK GIDA,6000.0
2018-01-01,2018,1,KENT,KENT GIDA,4404604.472
2018-01-01,2018,1,KERVT,KEREVITAS GIDA,2557300.0
2018-01-01,2018,1,KNFRT,KONFRUT GIDA,118470.0
2018-01-01,2018,1,KRSTL,KRISTAL KOLA,99359.99999999999
2018-01-01,2018,1,MERKO,MERKO GIDA,53485.5
2018-01-01,2018,1,PENGD,PENGUEN GIDA,127324.0
2018-01-01,2018,1,PETUN,PINAR ET VE UN,477118.35
2018-01-01,2018,1,PINSU,PINAR SU,84153.8918766
2018-01-01,2018,1,PNSUT,PINAR SUT,582116.1136875
2018-01-01,2018,1,SELGD,SELCUK GIDA,5968.980080000001
2018-01-01,2018,1,TBORG,T.TUBORG,3044477.9083199995
2018-01-01,2018,1,ULKER,ULKER BISKUVI,8125920.000000001
2018-01-01,2018,1,ATEKS,AKIN TEKSTIL,345996.0
2018-01-01,2018,1,ARSAN,ARSAN TEKSTIL,160064.1
2018-01-01,2018,1,BRMEN,BIRLIK MENSUCAT,22847.738579999997
2018-01-01,2018,1,DERIM,DERIMOD,70308.0
2018-01-01,2018,1,DESA,DESA DERI,52667.507750200006
2018-01-01,2018,1,KRTEK,KARSU TEKSTIL,52299.742656528
2018-01-01,2018,1,KORDS,KORDSA TEKNIK TEKSTIL,1589302.55092
2018-01-01,2018,1,LUKSK,LUKS KADIFE,52699.99999999999
2018-01-01,2018,1,MNDRS,MENDERES TEKSTIL,250000.0
2018-01-01,2018,1,SKTAS,SOKTAS,76629.2
2018-01-01,2018,1,SNPAM,SONMEZ PAMUKLU,539535.9375
2018-01-01,2018,1,GENTS,GENTAS,206800.0
2018-01-01,2018,1,ALKA,ALKIM KAGIT,251475.0
2018-01-01,2018,1,BAKAB,BAK AMBALAJ,216000.0
2018-01-01,2018,1,DOBUR,DOGAN BURDA,68848.296
2018-01-01,2018,1,DURDO,DURAN DOGAN BASIM,64977.087
2018-01-01,2018,1,HURGZ,HURRIYET GZT.,645840.0
2018-01-01,2018,1,KAPLM,KAPLAMIN,74800.0
2018-01-01,2018,1,KARTN,KARTONSAN,855643.4857360001
2018-01-01,2018,1,TIRE,MONDI TIRE KUTSAN,400000.0
2018-01-01,2018,1,VKING,VIKING KAGIT,48720.0
2018-01-01,2018,1,ALKIM,ALKIM KIMYA,632960.0
2018-01-01,2018,1,BAGFS,BAGFAS,465750.0
2018-01-01,2018,1,DEVA,DEVA HOLDING,946091.2311994
2018-01-01,2018,1,DYOBY,DYO BOYA,664000.0
2018-01-01,2018,1,EGGUB,EGE GUBRE,322000.0
2018-01-01,2018,1,EGPRO,EGE PROFIL,1020358.0021319998
2018-01-01,2018,1,EPLAS,EGEPLAST,92000.0
2018-01-01,2018,1,GOODY,GOOD-YEAR,1131300.0
2018-01-01,2018,1,GUBRF,GUBRE FABRIK.,1503000.0
2018-01-01,2018,1,HEKTS,HEKTAS,568927.7503499999
2018-01-01,2018,1,MRSHL,MARSHALL,592000.0
2018-01-01,2018,1,PETKM,PETKIM,11910000.0
2018-01-01,2018,1,SASA,SASA POLYESTER,4834500.0
2018-01-01,2018,1,SODA,SODA SANAYII,4572000.0
2018-01-01,2018,1,TUPRS,TUPRAS,28898375.68
2018-01-01,2018,1,ADANA,ADANA CIMENTO (A),550236.2437728
2018-01-01,2018,1,ADBGR,ADANA CIMENTO (B),364564.5786972
2018-01-01,2018,1,ADNAC,ADANA CIMENTO (C),153761.93116980002
2018-01-01,2018,1,AFYON,AFYON CIMENTO,777000.0
2018-01-01,2018,1,AKCNS,AKCANSA,2182496.57805
2018-01-01,2018,1,ANACM,ANADOLU CAM,2467500.000658
2018-01-01,2018,1,ASLAN,ASLAN CIMENTO,3022200.0
2018-01-01,2018,1,BTCIM,BATI CIMENTO,820800.0
2018-01-01,2018,1,BSOKE,BATISOKE CIMENTO,462800.0
2018-01-01,2018,1,BOLUC,BOLU CIMENTO,865141.3932
2018-01-01,2018,1,BUCIM,BURSA CIMENTO,598917.4732799999
2018-01-01,2018,1,CMBTN,CIMBETON,80428.8
2018-01-01,2018,1,CMENT,CIMENTAS,1158595.76056
2018-01-01,2018,1,DENCM,DENIZLI CAM,72180.0
2018-01-01,2018,1,DOGUB,DOGUSAN,28200.0
2018-01-01,2018,1,EGSER,EGE SERAMIK,338250.0
2018-01-01,2018,1,GOLTS,GOLTAS CIMENTO,488160.0
2018-01-01,2018,1,KONYA,KONYA CIMENTO,1274404.56
2018-01-01,2018,1,KUTPO,KUTAHYA PORSELEN,266644.224
2018-01-01,2018,1,MRDIN,MARDIN CIMENTO,468762.72
2018-01-01,2018,1,NUHCM,NUH CIMENTO,1742477.76
2018-01-01,2018,1,TRKCM,TRAKYA CAM,5457900.0
2018-01-01,2018,1,USAK,USAK SERAMIK,113106.77925749999
2018-01-01,2018,1,UNYEC,UNYE CIMENTO,549959.5277485
2018-01-01,2018,1,BRSAN,BORUSAN MANNESMANN,2056792.5
2018-01-01,2018,1,BURCE,BURCELIK,35212.32
2018-01-01,2018,1,BURVA,BURCELIK VANA,13152.33288
2018-01-01,2018,1,CELHA,CELIK HALAT,75735.0
2018-01-01,2018,1,CEMTS,CEMTAS,578590.6464000001
2018-01-01,2018,1,DMSAS,DEMISAS DOKUM,84350.0
2018-01-01,2018,1,ERBOS,ERBOSAN,510516.0
