,date,year,month,ticker,firm,marketcap,Sector
22674,2017-10-01,2017,10,EMKEL,EMEK ELEKTRIK,40338.0,imalat
22675,2017-10-01,2017,10,EMNIS,EMINIS AMBALAJ,30566.0,ambalaj
22676,2017-10-01,2017,10,FMIZP,F-M IZMIT PISTON,192879.4329,imalat
22677,2017-10-01,2017,10,FROTO,FORD OTOSAN,18791230.5,imalat
22678,2017-10-01,2017,10,GEREL,GERSAN ELEKTRIK,100500.0,imalat
22679,2017-10-01,2017,10,IHEVA,IHLAS EV ALETLERI,116735.7008418,imalat
22680,2017-10-01,2017,10,KARSN,KARSAN OTOMOTIV,1248000.0,imalat
22681,2017-10-01,2017,10,KLMSN,KLIMASAN KLIMA,217140.0,imalat
22682,2017-10-01,2017,10,MAKTK,MAKINA TAKIM,434000.0,metalesya
22683,2017-10-01,2017,10,OTKAR,OTOKAR,2644800.0,otomotiv
22684,2017-10-01,2017,10,PARSN,PARSAN,792711.36,otoyan
22685,2017-10-01,2017,10,SILVR,SILVERLINE ENDUSTRI,78917.82262,imalat
22686,2017-10-01,2017,10,TOASO,TOFAS OTO. FAB.,15440000.0,imalat
22687,2017-10-01,2017,10,PRKAB,TURK PRYSMIAN KABLO,391184.87952,imalat
22688,2017-10-01,2017,10,TTRAK,TURK TRAKTOR,4040033.3,otomotiv
22689,2017-10-01,2017,10,VESTL,VESTEL,3314307.997,metalesya
22690,2017-10-01,2017,10,VESBE,VESTEL BEYAZ ESYA,1979800.0,metalesya
22691,2017-10-01,2017,10,ADEL,ADEL KALEMCILIK,410602.5,imalat
22692,2017-10-01,2017,10,SERVE,SERVE KIRTASIYE,8554.024413,destek
22693,2017-10-01,2017,10,AKENR,AK ENERJI,670830.88,enerji
22694,2017-10-01,2017,10,AKSUE,AKSU ENERJI,80680.32,enerji
22695,2017-10-01,2017,10,AYEN,AYEN ENERJI,901392.921,enerji
22696,2017-10-01,2017,10,ZOREN,ZORLU ENERJI,3260000.0,enerji
22697,2017-10-01,2017,10,EDIP,EDIP GAYRIMENKUL,79300.0,insaat
22698,2017-10-01,2017,10,ENKAI,ENKA INSAAT,26450000.0,insaat
22699,2017-10-01,2017,10,DOAS,DOGUS OTOMOTIV,1843600.0,otomotiv
22700,2017-10-01,2017,10,INTEM,INTEMA,92048.4,toptan
22701,2017-10-01,2017,10,SANKO,SANKO PAZARLAMA,257600.0,toptan
22702,2017-10-01,2017,10,SELEC,SELCUK ECZA DEPOSU,2285280.0,ilac
22703,2017-10-01,2017,10,BIMAS,BIM MAGAZALAR,23483460.0,toptan
22704,2017-10-01,2017,10,MIPAZ,MILPA,419134.1372,toptan
22705,2017-10-01,2017,10,VAKKO,VAKKO TEKSTIL,542400.0,tekstil
22706,2017-10-01,2017,10,AYCES,ALTINYUNUS CESME,96351.255,turizm
22707,2017-10-01,2017,10,MAALT,MARMARIS ALTINYUNUS,107332.33056,turizm
22708,2017-10-01,2017,10,MARTI,MARTI OTEL,77536.8,turizm
